daily_volume,time,total_volume,Pool-Name
85682.69770350383,2021-05-05T00:00:00+00:00,85682.69770350383,DAI / ETH 0.05% fee
1431466.6986892684,2021-05-06T00:00:00+00:00,1517149.3963927724,DAI / ETH 0.05% fee
8459798.748977846,2021-05-07T00:00:00+00:00,9976948.145370618,DAI / ETH 0.05% fee
6341873.939812658,2021-05-08T00:00:00+00:00,16318822.085183276,DAI / ETH 0.05% fee
270720.1290687736,2021-05-09T00:00:00+00:00,16589542.21425205,DAI / ETH 0.05% fee
316250.3742327138,2021-05-10T00:00:00+00:00,16905792.588484764,DAI / ETH 0.05% fee
216626.3666599908,2021-05-11T00:00:00+00:00,17122418.955144756,DAI / ETH 0.05% fee
316630.9793842821,2021-05-12T00:00:00+00:00,17439049.934529036,DAI / ETH 0.05% fee
735255.0894445326,2021-05-13T00:00:00+00:00,18174305.02397357,DAI / ETH 0.05% fee
132819.95603969376,2021-05-14T00:00:00+00:00,18307124.980013262,DAI / ETH 0.05% fee
87823.57792452472,2021-05-15T00:00:00+00:00,18394948.557937786,DAI / ETH 0.05% fee
267465.58149360435,2021-05-16T00:00:00+00:00,18662414.13943139,DAI / ETH 0.05% fee
266496.7320557635,2021-05-17T00:00:00+00:00,18928910.871487156,DAI / ETH 0.05% fee
302272.67955195706,2021-05-18T00:00:00+00:00,19231183.55103911,DAI / ETH 0.05% fee
1478.710532701436,2021-05-19T00:00:00+00:00,19232662.261571813,DAI / ETH 0.05% fee
314.0261910518837,2021-05-20T00:00:00+00:00,19232976.287762865,DAI / ETH 0.05% fee
390.28432841668615,2021-05-21T00:00:00+00:00,19233366.57209128,DAI / ETH 0.05% fee
213.59620266685207,2021-05-22T00:00:00+00:00,19233580.16829395,DAI / ETH 0.05% fee
82108.91181028602,2021-05-23T00:00:00+00:00,19315689.080104236,DAI / ETH 0.05% fee
984122.2358451746,2021-05-24T00:00:00+00:00,20299811.31594941,DAI / ETH 0.05% fee
1039256.4062775549,2021-05-25T00:00:00+00:00,21339067.722226966,DAI / ETH 0.05% fee
1127929.4875203425,2021-05-26T00:00:00+00:00,22466997.209747307,DAI / ETH 0.05% fee
40181966.38729721,2021-05-27T00:00:00+00:00,62648963.59704452,DAI / ETH 0.05% fee
2612556.785126551,2021-05-28T00:00:00+00:00,65261520.38217107,DAI / ETH 0.05% fee
3383687.0642985464,2021-05-29T00:00:00+00:00,68645207.44646962,DAI / ETH 0.05% fee
7878104.826153778,2021-05-30T00:00:00+00:00,76523312.2726234,DAI / ETH 0.05% fee
9189264.888624407,2021-05-31T00:00:00+00:00,85712577.1612478,DAI / ETH 0.05% fee
4634476.805183528,2021-06-01T00:00:00+00:00,90347053.96643133,DAI / ETH 0.05% fee
7128019.024049135,2021-06-02T00:00:00+00:00,97475072.99048047,DAI / ETH 0.05% fee
18656952.059522014,2021-06-03T00:00:00+00:00,116132025.05000249,DAI / ETH 0.05% fee
5528765.018266261,2021-06-04T00:00:00+00:00,121660790.06826875,DAI / ETH 0.05% fee
4045362.7644659127,2021-06-05T00:00:00+00:00,125706152.83273466,DAI / ETH 0.05% fee
1899336.4445240528,2021-06-06T00:00:00+00:00,127605489.27725871,DAI / ETH 0.05% fee
6930442.3540031705,2021-06-07T00:00:00+00:00,134535931.6312619,DAI / ETH 0.05% fee
6099678.7082123365,2021-06-08T00:00:00+00:00,140635610.33947423,DAI / ETH 0.05% fee
2963996.9674315834,2021-06-09T00:00:00+00:00,143599607.3069058,DAI / ETH 0.05% fee
2512824.4970639283,2021-06-10T00:00:00+00:00,146112431.80396974,DAI / ETH 0.05% fee
7074660.537050658,2021-06-11T00:00:00+00:00,153187092.34102038,DAI / ETH 0.05% fee
11749997.820633953,2021-06-12T00:00:00+00:00,164937090.16165435,DAI / ETH 0.05% fee
18399364.30189503,2021-06-13T00:00:00+00:00,183336454.46354938,DAI / ETH 0.05% fee
24106067.558668807,2021-06-14T00:00:00+00:00,207442522.02221817,DAI / ETH 0.05% fee
21392480.20511986,2021-06-15T00:00:00+00:00,228835002.22733805,DAI / ETH 0.05% fee
26408398.65823809,2021-06-16T00:00:00+00:00,255243400.88557613,DAI / ETH 0.05% fee
35605150.24525798,2021-06-17T00:00:00+00:00,290848551.1308341,DAI / ETH 0.05% fee
48402310.284521244,2021-06-18T00:00:00+00:00,339250861.4153553,DAI / ETH 0.05% fee
21432381.368182447,2021-06-19T00:00:00+00:00,360683242.7835378,DAI / ETH 0.05% fee
26921731.239129294,2021-06-20T00:00:00+00:00,387604974.0226671,DAI / ETH 0.05% fee
93444504.0495928,2021-06-21T00:00:00+00:00,481049478.0722599,DAI / ETH 0.05% fee
43802503.07269427,2021-06-22T00:00:00+00:00,524851981.14495414,DAI / ETH 0.05% fee
41969344.55764269,2021-06-23T00:00:00+00:00,566821325.7025969,DAI / ETH 0.05% fee
23210743.810510065,2021-06-24T00:00:00+00:00,590032069.513107,DAI / ETH 0.05% fee
37892773.26994019,2021-06-25T00:00:00+00:00,627924842.7830471,DAI / ETH 0.05% fee
92381487.08816028,2021-06-26T00:00:00+00:00,720306329.8712074,DAI / ETH 0.05% fee
46846990.47976684,2021-06-27T00:00:00+00:00,767153320.3509742,DAI / ETH 0.05% fee
95239846.82814343,2021-06-28T00:00:00+00:00,862393167.1791177,DAI / ETH 0.05% fee
91573089.42406847,2021-06-29T00:00:00+00:00,953966256.6031861,DAI / ETH 0.05% fee
109373416.25916356,2021-06-30T00:00:00+00:00,1063339672.8623497,DAI / ETH 0.05% fee
100643947.7599979,2021-07-01T00:00:00+00:00,1163983620.6223476,DAI / ETH 0.05% fee
48238253.18213169,2021-07-02T00:00:00+00:00,1212221873.8044794,DAI / ETH 0.05% fee
35328550.62034588,2021-07-03T00:00:00+00:00,1247550424.4248252,DAI / ETH 0.05% fee
40877575.510480106,2021-07-04T00:00:00+00:00,1288427999.9353054,DAI / ETH 0.05% fee
68116708.33460547,2021-07-05T00:00:00+00:00,1356544708.2699108,DAI / ETH 0.05% fee
55005391.819317594,2021-07-06T00:00:00+00:00,1411550100.0892284,DAI / ETH 0.05% fee
45633460.83799275,2021-07-07T00:00:00+00:00,1457183560.927221,DAI / ETH 0.05% fee
58363562.4542042,2021-07-08T00:00:00+00:00,1515547123.3814254,DAI / ETH 0.05% fee
67713785.14187106,2021-07-09T00:00:00+00:00,1583260908.5232964,DAI / ETH 0.05% fee
62511496.206543826,2021-07-10T00:00:00+00:00,1645772404.7298403,DAI / ETH 0.05% fee
32401140.971574515,2021-07-11T00:00:00+00:00,1678173545.7014146,DAI / ETH 0.05% fee
46363610.05958845,2021-07-12T00:00:00+00:00,1724537155.761003,DAI / ETH 0.05% fee
47468368.26560568,2021-07-13T00:00:00+00:00,1772005524.0266087,DAI / ETH 0.05% fee
55673532.29031991,2021-07-14T00:00:00+00:00,1827679056.3169286,DAI / ETH 0.05% fee
72668508.98833723,2021-07-15T00:00:00+00:00,1900347565.305266,DAI / ETH 0.05% fee
44836715.51560996,2021-07-16T00:00:00+00:00,1945184280.820876,DAI / ETH 0.05% fee
27554754.030238554,2021-07-17T00:00:00+00:00,1972739034.8511145,DAI / ETH 0.05% fee
31284743.926920634,2021-07-18T00:00:00+00:00,2004023778.7780352,DAI / ETH 0.05% fee
31654189.282508243,2021-07-19T00:00:00+00:00,2035677968.0605433,DAI / ETH 0.05% fee
20626030.26718333,2021-07-20T00:00:00+00:00,2056303998.3277266,DAI / ETH 0.05% fee
53067738.810975805,2021-07-21T00:00:00+00:00,2109371737.1387024,DAI / ETH 0.05% fee
51670209.71505146,2021-07-22T00:00:00+00:00,2161041946.853754,DAI / ETH 0.05% fee
40901648.961970866,2021-07-23T00:00:00+00:00,2201943595.815725,DAI / ETH 0.05% fee
21498856.79830848,2021-07-24T00:00:00+00:00,2223442452.614033,DAI / ETH 0.05% fee
22164033.505919028,2021-07-25T00:00:00+00:00,2245606486.119952,DAI / ETH 0.05% fee
118989488.61373724,2021-07-26T00:00:00+00:00,2364595974.73369,DAI / ETH 0.05% fee
79755475.36437447,2021-07-27T00:00:00+00:00,2444351450.098064,DAI / ETH 0.05% fee
86522380.99381126,2021-07-28T00:00:00+00:00,2530873831.091875,DAI / ETH 0.05% fee
57748324.31378704,2021-07-29T00:00:00+00:00,2588622155.4056625,DAI / ETH 0.05% fee
70331492.10613245,2021-07-30T00:00:00+00:00,2658953647.5117946,DAI / ETH 0.05% fee
26734590.083427984,2021-07-31T00:00:00+00:00,2685688237.595223,DAI / ETH 0.05% fee
36251117.36279125,2021-08-01T00:00:00+00:00,2721939354.958014,DAI / ETH 0.05% fee
56687094.07055831,2021-08-02T00:00:00+00:00,2778626449.028572,DAI / ETH 0.05% fee
68826883.66291252,2021-08-03T00:00:00+00:00,2847453332.691485,DAI / ETH 0.05% fee
81323542.08783923,2021-08-04T00:00:00+00:00,2928776874.779324,DAI / ETH 0.05% fee
97540330.50693287,2021-08-05T00:00:00+00:00,3026317205.286257,DAI / ETH 0.05% fee
53992436.745237365,2021-08-06T00:00:00+00:00,3080309642.031494,DAI / ETH 0.05% fee
71878152.6936531,2021-08-07T00:00:00+00:00,3152187794.7251472,DAI / ETH 0.05% fee
60535456.47709793,2021-08-08T00:00:00+00:00,3212723251.202245,DAI / ETH 0.05% fee
57007739.72934237,2021-08-09T00:00:00+00:00,3269730990.9315877,DAI / ETH 0.05% fee
24941224.016914014,2021-08-10T00:00:00+00:00,3294672214.9485016,DAI / ETH 0.05% fee
14624443.225923683,2021-08-11T00:00:00+00:00,3309296658.1744256,DAI / ETH 0.05% fee
42648951.10633358,2021-08-12T00:00:00+00:00,3351945609.280759,DAI / ETH 0.05% fee
17326611.657525025,2021-08-13T00:00:00+00:00,3369272220.938284,DAI / ETH 0.05% fee
19255189.693843205,2021-08-14T00:00:00+00:00,3388527410.6321273,DAI / ETH 0.05% fee
43585597.013570845,2021-08-15T00:00:00+00:00,3432113007.645698,DAI / ETH 0.05% fee
54348929.63146399,2021-08-16T00:00:00+00:00,3486461937.277162,DAI / ETH 0.05% fee
82324723.56629136,2021-08-17T00:00:00+00:00,3568786660.8434534,DAI / ETH 0.05% fee
62913644.282471895,2021-08-18T00:00:00+00:00,3631700305.125925,DAI / ETH 0.05% fee
45806289.85703363,2021-08-19T00:00:00+00:00,3677506594.982959,DAI / ETH 0.05% fee
54393688.55548456,2021-08-20T00:00:00+00:00,3731900283.5384436,DAI / ETH 0.05% fee
40342944.744674504,2021-08-21T00:00:00+00:00,3772243228.283118,DAI / ETH 0.05% fee
23199000.39597633,2021-08-22T00:00:00+00:00,3795442228.6790943,DAI / ETH 0.05% fee
81846555.49544375,2021-08-23T00:00:00+00:00,3877288784.174538,DAI / ETH 0.05% fee
64583880.04388027,2021-08-24T00:00:00+00:00,3941872664.218418,DAI / ETH 0.05% fee
49866681.75393758,2021-08-25T00:00:00+00:00,3991739345.972356,DAI / ETH 0.05% fee
41919080.87868297,2021-08-26T00:00:00+00:00,4033658426.851039,DAI / ETH 0.05% fee
38737316.20857409,2021-08-27T00:00:00+00:00,4072395743.0596128,DAI / ETH 0.05% fee
27164253.51231039,2021-08-28T00:00:00+00:00,4099559996.5719233,DAI / ETH 0.05% fee
37221384.1761091,2021-08-29T00:00:00+00:00,4136781380.7480326,DAI / ETH 0.05% fee
66634945.71586703,2021-08-30T00:00:00+00:00,4203416326.4638996,DAI / ETH 0.05% fee
109006268.24167392,2021-08-31T00:00:00+00:00,4312422594.705573,DAI / ETH 0.05% fee
117255707.83593813,2021-09-01T00:00:00+00:00,4429678302.541512,DAI / ETH 0.05% fee
82800045.4603813,2021-09-02T00:00:00+00:00,4512478348.001893,DAI / ETH 0.05% fee
75011327.14528242,2021-09-03T00:00:00+00:00,4587489675.147175,DAI / ETH 0.05% fee
62314252.418869145,2021-09-04T00:00:00+00:00,4649803927.566045,DAI / ETH 0.05% fee
56175489.37538284,2021-09-05T00:00:00+00:00,4705979416.941427,DAI / ETH 0.05% fee
73626233.24586351,2021-09-06T00:00:00+00:00,4779605650.187291,DAI / ETH 0.05% fee
50181240.58962828,2021-09-07T00:00:00+00:00,4829786890.776919,DAI / ETH 0.05% fee
12227441.376100963,2021-09-08T00:00:00+00:00,4842014332.15302,DAI / ETH 0.05% fee
8701735.927086035,2021-09-09T00:00:00+00:00,4850716068.080106,DAI / ETH 0.05% fee
13534403.048373872,2021-09-10T00:00:00+00:00,4864250471.12848,DAI / ETH 0.05% fee
6916040.96740503,2021-09-11T00:00:00+00:00,4871166512.095885,DAI / ETH 0.05% fee
6499085.676971951,2021-09-12T00:00:00+00:00,4877665597.772857,DAI / ETH 0.05% fee
9772229.028550422,2021-09-13T00:00:00+00:00,4887437826.801407,DAI / ETH 0.05% fee
5079101.975881573,2021-09-14T00:00:00+00:00,4892516928.777288,DAI / ETH 0.05% fee
5038013.69809334,2021-09-15T00:00:00+00:00,4897554942.475382,DAI / ETH 0.05% fee
10362796.22668765,2021-09-16T00:00:00+00:00,4907917738.70207,DAI / ETH 0.05% fee
18178682.950513616,2021-09-17T00:00:00+00:00,4926096421.652583,DAI / ETH 0.05% fee
5250263.585141138,2021-09-18T00:00:00+00:00,4931346685.237724,DAI / ETH 0.05% fee
5048854.921375096,2021-09-19T00:00:00+00:00,4936395540.1591,DAI / ETH 0.05% fee
10596425.323100103,2021-09-20T00:00:00+00:00,4946991965.4822,DAI / ETH 0.05% fee
11998335.53766971,2021-09-21T00:00:00+00:00,4958990301.01987,DAI / ETH 0.05% fee
16249861.62985531,2021-09-22T00:00:00+00:00,4975240162.649725,DAI / ETH 0.05% fee
5260097.040349936,2021-09-23T00:00:00+00:00,4980500259.690075,DAI / ETH 0.05% fee
5974611.673235156,2021-09-24T00:00:00+00:00,4986474871.36331,DAI / ETH 0.05% fee
3710123.4711640337,2021-09-25T00:00:00+00:00,4990184994.834474,DAI / ETH 0.05% fee
5609445.06483364,2021-09-26T00:00:00+00:00,4995794439.899307,DAI / ETH 0.05% fee
4277716.314228418,2021-09-27T00:00:00+00:00,5000072156.213536,DAI / ETH 0.05% fee
5255103.579658141,2021-09-28T00:00:00+00:00,5005327259.793194,DAI / ETH 0.05% fee
4453293.805552788,2021-09-29T00:00:00+00:00,5009780553.598747,DAI / ETH 0.05% fee
3134197.6413183715,2021-09-30T00:00:00+00:00,5012914751.240066,DAI / ETH 0.05% fee
9141277.148711419,2021-10-01T00:00:00+00:00,5022056028.388777,DAI / ETH 0.05% fee
8849681.162189398,2021-10-02T00:00:00+00:00,5030905709.550966,DAI / ETH 0.05% fee
6415967.762950391,2021-10-03T00:00:00+00:00,5037321677.313916,DAI / ETH 0.05% fee
4810888.239639631,2021-10-04T00:00:00+00:00,5042132565.553556,DAI / ETH 0.05% fee
4481476.943076465,2021-10-05T00:00:00+00:00,5046614042.496633,DAI / ETH 0.05% fee
3304110.884764656,2021-10-06T00:00:00+00:00,5049918153.381397,DAI / ETH 0.05% fee
2933630.6668831473,2021-10-07T00:00:00+00:00,5052851784.048281,DAI / ETH 0.05% fee
2078694.53225821,2021-10-08T00:00:00+00:00,5054930478.580539,DAI / ETH 0.05% fee
2302859.6423046603,2021-10-09T00:00:00+00:00,5057233338.222843,DAI / ETH 0.05% fee
6135092.07211992,2021-10-10T00:00:00+00:00,5063368430.294963,DAI / ETH 0.05% fee
7716060.247907266,2021-10-11T00:00:00+00:00,5071084490.5428705,DAI / ETH 0.05% fee
12232867.413545623,2021-10-12T00:00:00+00:00,5083317357.956416,DAI / ETH 0.05% fee
14260171.670899741,2021-10-13T00:00:00+00:00,5097577529.6273155,DAI / ETH 0.05% fee
2510551.0020277565,2021-10-14T00:00:00+00:00,5100088080.629344,DAI / ETH 0.05% fee
3557200.1359834783,2021-10-15T00:00:00+00:00,5103645280.765327,DAI / ETH 0.05% fee
62611154.58312946,2021-10-16T00:00:00+00:00,5166256435.348456,DAI / ETH 0.05% fee
48159652.12850528,2021-10-17T00:00:00+00:00,5214416087.476962,DAI / ETH 0.05% fee
41571009.095267594,2021-10-18T00:00:00+00:00,5255987096.572229,DAI / ETH 0.05% fee
58850386.417020835,2021-10-19T00:00:00+00:00,5314837482.98925,DAI / ETH 0.05% fee
106165542.79469007,2021-10-20T00:00:00+00:00,5421003025.78394,DAI / ETH 0.05% fee
149758376.63570842,2021-10-21T00:00:00+00:00,5570761402.419649,DAI / ETH 0.05% fee
153263635.63800028,2021-10-22T00:00:00+00:00,5724025038.057649,DAI / ETH 0.05% fee
120759694.84225063,2021-10-23T00:00:00+00:00,5844784732.8998995,DAI / ETH 0.05% fee
87058975.51208535,2021-10-24T00:00:00+00:00,5931843708.411985,DAI / ETH 0.05% fee
73598664.62054637,2021-10-25T00:00:00+00:00,6005442373.032532,DAI / ETH 0.05% fee
112560299.44073103,2021-10-26T00:00:00+00:00,6118002672.473263,DAI / ETH 0.05% fee
141792659.63222533,2021-10-27T00:00:00+00:00,6259795332.105488,DAI / ETH 0.05% fee
245803626.88190562,2021-10-28T00:00:00+00:00,6505598958.987393,DAI / ETH 0.05% fee
201354945.44339576,2021-10-29T00:00:00+00:00,6706953904.430789,DAI / ETH 0.05% fee
121867821.84995167,2021-10-30T00:00:00+00:00,6828821726.280741,DAI / ETH 0.05% fee
154769811.03492907,2021-10-31T00:00:00+00:00,6983591537.31567,DAI / ETH 0.05% fee
153183941.9103628,2021-11-01T00:00:00+00:00,7136775479.226032,DAI / ETH 0.05% fee
169230291.71709606,2021-11-02T00:00:00+00:00,7306005770.943129,DAI / ETH 0.05% fee
213151489.79005274,2021-11-03T00:00:00+00:00,7519157260.733181,DAI / ETH 0.05% fee
177145619.2437315,2021-11-04T00:00:00+00:00,7696302879.9769125,DAI / ETH 0.05% fee
134855569.09418264,2021-11-05T00:00:00+00:00,7831158449.071095,DAI / ETH 0.05% fee
137105197.51389557,2021-11-06T00:00:00+00:00,7968263646.584991,DAI / ETH 0.05% fee
119329875.4556286,2021-11-07T00:00:00+00:00,8087593522.04062,DAI / ETH 0.05% fee
126073530.3158233,2021-11-08T00:00:00+00:00,8213667052.356443,DAI / ETH 0.05% fee
96811628.84618583,2021-11-09T00:00:00+00:00,8310478681.202629,DAI / ETH 0.05% fee
275117893.3353617,2021-11-10T00:00:00+00:00,8585596574.537991,DAI / ETH 0.05% fee
161215589.11201188,2021-11-11T00:00:00+00:00,8746812163.650003,DAI / ETH 0.05% fee
197890980.77322504,2021-11-12T00:00:00+00:00,8944703144.423227,DAI / ETH 0.05% fee
93590847.83103542,2021-11-13T00:00:00+00:00,9038293992.254263,DAI / ETH 0.05% fee
110548578.44681917,2021-11-14T00:00:00+00:00,9148842570.701082,DAI / ETH 0.05% fee
121254609.75126004,2021-11-15T00:00:00+00:00,9270097180.452343,DAI / ETH 0.05% fee
447511146.08827883,2021-11-16T00:00:00+00:00,9717608326.54062,DAI / ETH 0.05% fee
326747725.90558076,2021-11-17T00:00:00+00:00,10044356052.446201,DAI / ETH 0.05% fee
293889489.8348365,2021-11-18T00:00:00+00:00,10338245542.281038,DAI / ETH 0.05% fee
179898250.6571257,2021-11-19T00:00:00+00:00,10518143792.938164,DAI / ETH 0.05% fee
135377197.24566266,2021-11-20T00:00:00+00:00,10653520990.183826,DAI / ETH 0.05% fee
161079091.40323398,2021-11-21T00:00:00+00:00,10814600081.58706,DAI / ETH 0.05% fee
286776764.51712054,2021-11-22T00:00:00+00:00,11101376846.104181,DAI / ETH 0.05% fee
229963908.5916468,2021-11-23T00:00:00+00:00,11331340754.695827,DAI / ETH 0.05% fee
238137041.59068593,2021-11-24T00:00:00+00:00,11569477796.286514,DAI / ETH 0.05% fee
129670617.70117435,2021-11-25T00:00:00+00:00,11699148413.987688,DAI / ETH 0.05% fee
249462166.73798674,2021-11-26T00:00:00+00:00,11948610580.725676,DAI / ETH 0.05% fee
20076087.952045955,2021-11-27T00:00:00+00:00,11968686668.677721,DAI / ETH 0.05% fee
22588147.80587891,2021-11-28T00:00:00+00:00,11991274816.4836,DAI / ETH 0.05% fee
88392050.77953732,2021-11-29T00:00:00+00:00,12079666867.263138,DAI / ETH 0.05% fee
197465238.68364215,2021-11-30T00:00:00+00:00,12277132105.94678,DAI / ETH 0.05% fee
184545035.68666908,2021-12-01T00:00:00+00:00,12461677141.633448,DAI / ETH 0.05% fee
136525607.83715072,2021-12-02T00:00:00+00:00,12598202749.470598,DAI / ETH 0.05% fee
212387997.2407012,2021-12-03T00:00:00+00:00,12810590746.7113,DAI / ETH 0.05% fee
377796384.9711089,2021-12-04T00:00:00+00:00,13188387131.68241,DAI / ETH 0.05% fee
211719269.42273635,2021-12-05T00:00:00+00:00,13400106401.105146,DAI / ETH 0.05% fee
272741248.4196813,2021-12-06T00:00:00+00:00,13672847649.524826,DAI / ETH 0.05% fee
127447620.47252539,2021-12-07T00:00:00+00:00,13800295269.997353,DAI / ETH 0.05% fee
143818038.51448983,2021-12-08T00:00:00+00:00,13944113308.511843,DAI / ETH 0.05% fee
198908632.43621123,2021-12-09T00:00:00+00:00,14143021940.948053,DAI / ETH 0.05% fee
296224063.2577515,2021-12-10T00:00:00+00:00,14439246004.205805,DAI / ETH 0.05% fee
190896003.82973468,2021-12-11T00:00:00+00:00,14630142008.03554,DAI / ETH 0.05% fee
97317165.4344859,2021-12-12T00:00:00+00:00,14727459173.470026,DAI / ETH 0.05% fee
160472514.46381825,2021-12-13T00:00:00+00:00,14887931687.933844,DAI / ETH 0.05% fee
82364595.38910896,2021-12-14T00:00:00+00:00,14970296283.322952,DAI / ETH 0.05% fee
160012191.39847937,2021-12-15T00:00:00+00:00,15130308474.721432,DAI / ETH 0.05% fee
127843589.08997485,2021-12-16T00:00:00+00:00,15258152063.811407,DAI / ETH 0.05% fee
185538800.51249734,2021-12-17T00:00:00+00:00,15443690864.323904,DAI / ETH 0.05% fee
140821272.24607837,2021-12-18T00:00:00+00:00,15584512136.569983,DAI / ETH 0.05% fee
105551017.4713034,2021-12-19T00:00:00+00:00,15690063154.041286,DAI / ETH 0.05% fee
139258508.64164236,2021-12-20T00:00:00+00:00,15829321662.682928,DAI / ETH 0.05% fee
84021074.92308939,2021-12-21T00:00:00+00:00,15913342737.606018,DAI / ETH 0.05% fee
53247297.429724656,2021-12-22T00:00:00+00:00,15966590035.035742,DAI / ETH 0.05% fee
89246982.7241684,2021-12-23T00:00:00+00:00,16055837017.75991,DAI / ETH 0.05% fee
57831714.95211384,2021-12-24T00:00:00+00:00,16113668732.712025,DAI / ETH 0.05% fee
42644351.97313473,2021-12-25T00:00:00+00:00,16156313084.68516,DAI / ETH 0.05% fee
45001094.408071846,2021-12-26T00:00:00+00:00,16201314179.093231,DAI / ETH 0.05% fee
40277680.06695675,2021-12-27T00:00:00+00:00,16241591859.160189,DAI / ETH 0.05% fee
140521232.01895508,2021-12-28T00:00:00+00:00,16382113091.179144,DAI / ETH 0.05% fee
20607313.363441512,2021-12-29T00:00:00+00:00,16402720404.542585,DAI / ETH 0.05% fee
15763043.421721036,2021-12-30T00:00:00+00:00,16418483447.964306,DAI / ETH 0.05% fee
15916452.181567663,2021-12-31T00:00:00+00:00,16434399900.145874,DAI / ETH 0.05% fee
18942677.471445233,2022-01-01T00:00:00+00:00,16453342577.61732,DAI / ETH 0.05% fee
25871069.285760425,2022-01-02T00:00:00+00:00,16479213646.903078,DAI / ETH 0.05% fee
32865590.897670098,2022-01-03T00:00:00+00:00,16512079237.800749,DAI / ETH 0.05% fee
65083049.53373164,2022-01-04T00:00:00+00:00,16577162287.33448,DAI / ETH 0.05% fee
37325501.58959623,2022-01-05T00:00:00+00:00,16614487788.924076,DAI / ETH 0.05% fee
11558604.425054122,2022-01-06T00:00:00+00:00,16626046393.34913,DAI / ETH 0.05% fee
20292208.220643688,2022-01-07T00:00:00+00:00,16646338601.569775,DAI / ETH 0.05% fee
29776262.294501726,2022-01-08T00:00:00+00:00,16676114863.864277,DAI / ETH 0.05% fee
27922169.649144135,2022-01-09T00:00:00+00:00,16704037033.51342,DAI / ETH 0.05% fee
39737463.86906261,2022-01-10T00:00:00+00:00,16743774497.382483,DAI / ETH 0.05% fee
